Neighborhood,Neighborhood Latitude,Neighborhood Longitude,ID,Venue,Venue Latitude,Venue Longitude,Category
Ang Mo Kio,1.3691,103.8454,4c657dabe2ee9c749ce32d2f,Ang Mo Kio Central Market & Food Centre,1.372036962033785,103.84636606706158,Food Court
Ang Mo Kio,1.3691,103.8454,4d85cc1d509137042a3b9e5b,AMK 722 Food House,1.3719892256484587,103.84749486171232,Food Court
Ang Mo Kio,1.3691,103.8454,4b691f1ff964a520ba992be3,Food Loft,1.3725535397270734,103.84791254997253,Food Court
Ang Mo Kio,1.3691,103.8454,4bc08969b492d13a345ba460,AMK Food House,1.3682450769635002,103.84400063439564,Coffee Shop
Ang Mo Kio,1.3691,103.8454,4b149e47f964a52023a523e3,S11 Food House,1.371501079763629,103.8477834249041,Food Court
Ang Mo Kio,1.3691,103.8454,4eca676261af9e1433206595,Food Park,1.365588100474511,103.8489832709382,Coffee Shop
Ang Mo Kio,1.3691,103.8454,532d236111d2a43125ed6a8c,Food Paradise,1.3690950870513916,103.84803771972656,Dessert Shop
Ang Mo Kio,1.3691,103.8454,4b1e9fe1f964a520d91c24e3,Ministry Of Food の Japanese Sweets & Coffee,1.369436766676488,103.84919645661506,Ice Cream Shop
Ang Mo Kio,1.3691,103.8454,4b939e07f964a5206a4a34e3,Rasa Sayang Western Food,1.37152850958894,103.84787698760543,American Restaurant
Ang Mo Kio,1.3691,103.8454,4b1ea018f964a520dc1c24e3,NTUC Foodfare,1.3691544729284013,103.84811223101906,Food Court
Ang Mo Kio,1.3691,103.8454,4d1876a11356a09349e3e282,Hokkaido Street Food,1.369143746557445,103.84585794723266,Food Court
Ang Mo Kio,1.3691,103.8454,4b7fce65f964a520903e30e3,AMK 347 Food House,1.367601595486527,103.84837187141285,Coffee Shop
Ang Mo Kio,1.3691,103.8454,5d53a0248a2d510008da7bd6,Rasitha Indian Muslim Food,1.3684952,103.844185,South Indian Restaurant
Ang Mo Kio,1.3691,103.8454,4e688811d164156c904179db,Hokkaido Street Food @AMK Hub Basement,1.369143746557445,103.84683738880602,Asian Restaurant
Ang Mo Kio,1.3691,103.8454,4ce3d1c6dc85a1437bd247d2,Vincent Western Food,1.3718295509707412,103.84646952152252,Diner
Ang Mo Kio,1.3691,103.8454,53f9c35e498ebc01e1732658,Food Court @ AMK MRT,1.3682838678359985,103.85034942626953,Cafeteria
Ang Mo Kio,1.3691,103.8454,4eba6dd629c2dcd441bad7f4,Western Food,1.3712508016610403,103.84833204157938,Coffee Shop
Ang Mo Kio,1.3691,103.8454,4dc4055bd4c0ad9c0f6346d4,Food Truck Of Amk,1.36937,103.849297,Food Truck
Ang Mo Kio,1.3691,103.8454,505f5a9ce4b066ef6818a194,Food Hawker,1.364394,103.845412,Restaurant
Ang Mo Kio,1.3691,103.8454,4e2a4b8f18387cce0666a772,Feast On The East Food Fair,1.3692404830192961,103.84854152074384,Food
Ang Mo Kio,1.3691,103.8454,4f88e2cbe4b0cec3aac1113b,Weng Seng Cooked Food,1.371753159940173,103.84642640842412,Food Court
Ang Mo Kio,1.3691,103.8454,4c36d7ea18e72d7fab8615f5,Ummu Salmah Muslim Food,1.3719234013774382,103.84649097919464,Indian Restaurant
Ang Mo Kio,1.3691,103.8454,4d6861090a25b60c2dfd1690,Lim Hai Sheng Cooked Food,1.3719547064944309,103.84635632594231,Breakfast Spot
Ang Mo Kio,1.3691,103.8454,4db7f0086e81c67f61c208ec,King's Food Truck,1.372185,103.846339,Food Truck
Ang Mo Kio,1.3691,103.8454,4dc4136c1f6ef43b89f24ba1,Caythat Food,1.369512,103.848541,Food Truck
Ang Mo Kio,1.3691,103.8454,5e5c9f489d3709000805a21b,Al Zouq Food & Caterer,1.372326,103.846144,North Indian Restaurant
Ang Mo Kio,1.3691,103.8454,5bbb508f3c858d002ce94fc9,Tawian Food @ 711 Amk,1.371537,103.847733,Food Court
Ang Mo Kio,1.3691,103.8454,4d0d852f903d3704f4cdc455,Jia Jia Yong Tau Foo @ Ang Mo Kio Market & Food Centre,1.3721377099730145,103.84666668477166,Chinese Restaurant
Ang Mo Kio,1.3691,103.8454,4fffc188e4b0625c78d7e952,Taste Asia Food Fair,1.369202,103.848735,Food Truck
Ang Mo Kio,1.3691,103.8454,5b1c72d5f15b51002cd7d756,齋 Vegetarian Food,1.372274,103.846565,Vegetarian / Vegan Restaurant
Ang Mo Kio,1.3691,103.8454,5a1d49130fe7a05b6e694557,Ameeda Muslim Food,1.367399,103.848404,Indian Restaurant
Ang Mo Kio,1.3691,103.8454,4bae005bf964a520bc793be3,Dong Dae Mun Seoul Street Food,1.36930970973724,103.84922657648234,Snack Place
Ang Mo Kio,1.3691,103.8454,58d2693f8cfe540f75bbd7b9,Indian Muslim Food @ 339,1.3656236052585402,103.8490249195993,Halal Restaurant
Ang Mo Kio,1.3691,103.8454,56fde1ca498e4d8097947d50,Malay Muslim Food,1.3655833002274902,103.8489789521031,Malay Restaurant
Ang Mo Kio,1.3691,103.8454,5b42055a81a0ea002c0f9c2b,Ding Feng Food Hub 頂豐潮州粥,1.365497,103.84907,Chinese Restaurant
Ang Mo Kio,1.3691,103.8454,4e678a8514952e0a12ed74a9,Neal Caffrey's Food Truck,1.3694950342178345,103.84085083007812,Food Truck
Ang Mo Kio,1.3691,103.8454,5bc68bbd59c42300393d13be,Al Kasim Indian Muslim Food,1.365641,103.848962,Food Service
Ang Mo Kio,1.3691,103.8454,4b83bd62f964a520c80e31e3,McDonald's/McCafe,1.3693852228380523,103.84736482845963,Fast Food Restaurant
Ang Mo Kio,1.3691,103.8454,4d3c0d2d457cb60c8450eca4,S11,1.3692339154074389,103.84727954864502,Food Court
Ang Mo Kio,1.3691,103.8454,4cd0300cadf29c74238b7b95,Yunus N Family,1.3716603267595933,103.8463755962762,Malay Restaurant
Ang Mo Kio,1.3691,103.8454,4ea6a2ca4690ee4468f79f54,FoodFair,1.369169088778338,103.84822447132314,Food Court
Ang Mo Kio,1.3691,103.8454,4d4e5ee0122b548167d6844f,Fragrance Foodstuff @ AMK Ctrl,1.369375,103.847385,BBQ Joint
Ang Mo Kio,1.3691,103.8454,5094ff5ae4b09d8b5e5eb4bd,Foodlink Seafood,1.372627420581841,103.84802631581086,Seafood Restaurant
Ang Mo Kio,1.3691,103.8454,4f12b283e4b067f670e788c5,就是爱面包 Just Love Bread,1.3724087419933406,103.84652316570282,Bakery
Ang Mo Kio,1.3691,103.8454,4d7e011d564b8cfab4dce864,Kay Fiery Grill Express,1.3720772260111442,103.84745627659814,Asian Restaurant
Bedok,1.3236,103.9273,4de5f3287d8b53987c5515ab,Food Hub @ Chai Chee 福阁食厅,1.323398058984963,103.92309188418734,Food Court
Bedok,1.3236,103.9273,4b6cf244f964a5207d5f2ce3,Chai Chee 29 Food House,1.32417934556663,103.92381744805154,Food Court
Bedok,1.3236,103.9273,4ecc4b35b8f7cc0320f1a509,Wah Kee Coffee Shop @ Bedok Interchange Food Centre,1.325264,103.930537,Coffee Shop
Bedok,1.3236,103.9273,59ec2c2561e53b0ea5692e44,Kin Khao Yang Authentic Thai Food,1.3242868,103.93064,Thai Restaurant
Bedok,1.3236,103.9273,509b13afe4b04e2b3d94cba0,Soon Lee Economic Food,1.324923,103.92605,Snack Place
Bedok,1.3236,103.9273,4e60d6aaaeb736031432f5df,Fatt Soon Kueh @ Bedok Interchange Food Centre,1.3252014638668776,103.93021761380481,Food Court
Bedok,1.3236,103.9273,4c5223ac99ecc9b612c0695a,Merah Delima @ Bedok Food Centre,1.325526,103.930329,Asian Restaurant
Bedok,1.3236,103.9273,506e467ce4b06679d11309ba,Muslim Food @ Badaling Coffee Shop Blk 36 Chai Chee,1.325029048021038,103.92573101643349,Malay Restaurant
